event,gps,catalog,network_snr,mass1_source,mass2_source,mass_ratio_q,chirp_mass,total_mass,chi_eff,final_mass,luminosity_distance,p_astro,false_alarm_rate,lvc_source_type,eta_proj,lambda1_lambda2,lambda2_lambda3,geometric_class,geometry_mode,symmetry,cross_phase_rotation,n_detector_shifts,detector_trajectory,eta_inspiral,eta_post_inspiral,eta_merger_ringdown,waveform_correlation,envelope_correlation,det_power_merg_H1,det_power_merg_L1,det_power_merg_V1,quadrant,eta_snr_ratio,imr_isco_freq,imr_isco_eta,imr_merger_drop,imr_merger_drop_freq,imr_qnm_peak_freq,imr_qnm_peak_eta,imr_qnm_peak_r12,imr_eta_amplitude_ringdown,imr_n_class_A_regions,imr_eta_max,imr_eta_min,imr_eta_std,geom_isco_freq,geom_mass_total_est,geom_mass_total_err_pct,geom_qnm_freq,geom_method_note
GW190915_235702,1252627040,GWTC-2.1-confident,13.1,32.6,24.5,0.7515,24.55,57.1,-0.03,54.7,1750.0,1.0,,BBH,0.3945,1.26,1.08,B+,multi-mode,low,0.6391,1,L1→V1→V1,0.3766,0.3916,0.3945,0.2009,-0.0379,0.2043,0.205,0.5907,Q1-Anchored,0.0301,60.0,0.4976,-0.0853,60.0,435.0,0.8699,10.22,0.4992,2,0.8699,0.3664,0.1291,,,,,
GW190916_200658,1252699636,GWTC-2.1-confident,8.1,43.8,23.3,0.532,27.54,67.1,0.2,65.0,4940.0,0.6573,,BBH,0.398,1.29,1.05,B+,multi-mode,low,0.6127,0,V1→V1→V1,0.3695,0.3888,0.398,0.248,0.1708,0.1848,0.1766,0.6386,Q1-Anchored,0.0491,60.0,0.4681,-0.0773,80.0,435.0,0.4602,1.62,0.0994,1,0.4681,0.3608,0.0365,,,,,
GW190917_114630,1252756008,GWTC-2.1-confident,8.3,9.7,2.1,0.2165,3.72,11.8,-0.08,11.6,720.0,0.7664,,NSBH,0.3728,1.15,1.08,B+,multi-mode,low,0.6565,0,V1→V1→V1,0.3959,0.3832,0.3728,0.169,0.0127,0.2413,0.2707,0.488,Q4-DiffuseDynamic,0.0449,60.0,0.4893,-0.0719,135.0,435.0,0.8193,8.24,0.434,1,0.8193,0.362,0.114,,,,,
GW190924_021846,1253326744,GWTC-2.1-confident,12.0,8.8,5.1,0.5795,5.79,13.9,0.03,13.3,550.0,1.0,,BBH,0.3779,1.17,1.08,B+,multi-mode,low,0.6663,1,L1→L1→V1,0.5512,0.3847,0.3779,0.2395,0.0107,0.3035,0.3364,0.36,Q4-DiffuseDynamic,0.0315,40.0,0.6291,-0.0556,80.0,435.0,0.7312,5.04,0.3532,2,0.7312,0.363,0.1075,,,,,
GW190926_050336,1253509434,GWTC-2.1-confident,8.1,41.1,20.4,0.4964,24.91,61.5,-0.02,59.6,3280.0,0.5433,,BBH,0.3846,1.17,1.14,B+,multi-mode,low,0.6635,0,V1→V1→V1,0.3646,0.3696,0.3846,0.1406,0.08,0.2936,0.2931,0.4133,Q4-DiffuseDynamic,0.0475,60.0,0.5364,-0.066,80.0,435.0,0.7576,5.82,0.3735,1,0.7576,0.3762,0.0992,,,,,
GW190929_012149,1253755327,GWTC-2.1-confident,9.7,66.3,26.8,0.4042,35.97,93.1,-0.03,90.3,3130.0,0.8704,,BBH,0.3704,1.08,1.2,B+,multi-mode,low,0.6655,1,L1→V1→V1,0.379,0.3934,0.3704,0.1443,-0.0749,0.2904,0.3,0.4096,Q4-DiffuseDynamic,0.0382,40.0,0.4917,-0.0662,105.0,435.0,0.7628,6.02,0.389,2,0.7628,0.3738,0.0985,,,,,
GW191105_143521,1256999739,GWTC-3-confident,9.7,10.7,7.7,0.7196,7.88,18.4,-0.02,17.6,1150.0,0.99,,BBH,0.3765,1.1,1.23,B+,multi-mode,low,0.6641,0,V1→V1→V1,0.4755,0.4011,0.3765,0.2404,-0.0767,0.3231,0.3295,0.3474,Q4-DiffuseDynamic,0.0388,40.0,0.4787,-0.06,80.0,485.0,0.577,2.45,0.204,1,0.577,0.373,0.066,,,,,
GW191113_071753,1257664691,GWTC-3-confident,7.9,29.0,5.9,0.2034,10.75,34.9,,34.0,1370.0,0.6834,,BBH,0.3824,1.15,1.16,B+,multi-mode,low,0.667,1,H1→V1→V1,0.3886,0.4058,0.3824,0.1558,0.1043,0.3017,0.3077,0.3905,Q4-DiffuseDynamic,0.0484,60.0,0.4939,-0.0566,80.0,435.0,0.8087,7.12,0.4295,2,0.8087,0.3792,0.1099,,,,,
GW191127_050227,1258866165,GWTC-3-confident,9.2,53.0,24.0,0.4528,30.58,77.0,0.18,76.0,3400.0,0.74,,BBH,0.3996,1.3,1.05,B+,multi-mode,low,0.6677,1,H1→V1→V1,0.3782,0.3947,0.3996,0.3582,0.0942,0.2974,0.3001,0.4025,Q2-CoherentDynamic,0.0434,80.0,0.4747,-0.0542,80.0,435.0,0.8069,7.83,0.4235,1,0.8069,0.3799,0.1077,,,,,
GW191215_223052,1260484270,GWTC-3-confident,11.2,24.9,18.1,0.7269,18.43,43.0,-0.04,41.4,1930.0,0.99,,BBH,0.3938,1.24,1.11,B+,multi-mode,low,0.6492,0,V1→V1→V1,0.3824,0.385,0.3938,0.2957,0.0491,0.2528,0.244,0.5032,Q2-CoherentDynamic,0.0352,80.0,0.4666,-0.0849,80.0,435.0,0.4766,1.75,0.0978,2,0.4766,0.3636,0.036,,,,,
GW191230_180458,1261764316,GWTC-3-confident,10.4,49.4,37.0,0.749,37.14,86.4,-0.05,82.0,4300.0,0.9616,,BBH,0.8667,11.24,1.37,A,single-mode,high,0.5085,0,H1→H1→H1,0.8584,0.9067,0.8667,0.0692,-0.0089,0.6242,0.133,0.2428,Q1-Anchored,0.0833,135.0,0.8732,-0.045,165.0,435.0,0.6871,4.0,0.2695,1,0.8732,0.4176,0.1268,,,,,
